types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatAncientGreekCities,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatAncientGreekSitesInItaly,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInCampania,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInItaly,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatPopulatedPlacesEstablishedInThe6thCenturyBC,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/ontology/City,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatWorldHeritageSitesInItaly,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatLocalitiesOfCilento,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/WikicatRomanTownsAndCitiesInMagnaGrecia,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/City108524735,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Municipality108626283,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Section108648322,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Velia,Elea,154,64,1.0,9.494175308406636e-16,0,55,== Attributed discoveries == | === In astronomy ===
