types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/ontology/River,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatBodiesOfWaterOfNewYork,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatBridgesInNewYork,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatCanals,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatRiversOfNewYork,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatRiversOfNorthAmerica,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatRiversOfTheUnitedStates,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/BodyOfWater109225146,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Bridge102898711,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Canal102947212,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Channel109241247,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Ocean109376198,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/River109411430,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Strait109446115,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Stream109448361,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Watercourse104559275,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
http://dbpedia.org/class/yago/WikicatStraitsOfNewYork,http://dbpedia.org/resource/Harlem_River,C-Rock,793,72,0.9999999775000676,0.0,3,18,== Career == | ==== Cocoon Frankfurt ====
