types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHinduSymbols,http://dbpedia.org/resource/Nishaan,nishaan,10,41,1.0,2.407565992989481e-15,0,26,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nishaan,nishaan,10,41,1.0,2.407565992989481e-15,0,26,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Nishaan,nishaan,10,41,1.0,2.407565992989481e-15,0,26,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Nishaan,nishaan,10,41,1.0,2.407565992989481e-15,0,26,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Nishaan,nishaan,10,41,1.0,2.407565992989481e-15,0,26,== Works == | === Poetry ===
