types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Food,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/WikicatChineseWebsites,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/WebSite106359193,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Microblogging_in_China,microblog,199,44,0.8872824780227685,0.1270367946726581,0,61,== Personal life == | === Microblog ===
