types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/WikicatRugbyUnionToursOfKenya,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/WikicatRugbyUnionToursOfNamibia,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/WikicatRugbyUnionToursOfSouthAfrica,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/WikicatRugbyUnionToursOfZimbabwe,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Journey100306426,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Tour100310666,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Travel100295701,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
http://dbpedia.org/class/yago/Wikicat1955RugbyUnionTours,http://dbpedia.org/resource/1955_British_Lions_tour_to_South_Africa,1955 tour,101,30,0.9999999999855618,0.0,2,12,== Rugby Union career == | === British Lions ===
