types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/JazzMusician110220486,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatFinnishJazzMusicians,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatPeopleFromLeppävirta,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/ontology/Criminal,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
