types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/WikicatIndustrialMusicServices,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/WikicatMusicGenres,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
http://dbpedia.org/class/yago/Service100577525,http://dbpedia.org/resource/Background_music,Background music,472,13,0.9999999972336155,0.0,0,126,== Filmography == | === Tamil films ===
