types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/Garrison103420559,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/MilitaryInstallation103763133,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/MilitaryPost103763403,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
http://dbpedia.org/class/yago/WikicatForts,http://dbpedia.org/resource/Jomsborg,Jomsborg,92,229,1.0,0.0,1,42,== Choirs == | === Húsakórið 1978-2000 ===
