types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatComputerFileFormats,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/WrittenRecord106502378,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Chronology106503224,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Format106636806,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/Timeline106504965,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
http://dbpedia.org/class/yago/WikicatTechnologyTimelines,http://dbpedia.org/resource/Timeline_of_audio_formats,Audio format,133,189,1.0,0.0,2,5,== Biography == | === Post hiatus ===
