types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://schema.org/LandmarksOrHistoricalBuildings,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://www.wikidata.org/entity/Q41176,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/WikicatAncientRomanBuildingsAndStructuresInRome,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/WikicatChurchesInRome,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/WikicatTitularChurchesInRome,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Church103028079,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/PlaceOfWorship103953416,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/ontology/HistoricBuilding,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
http://dbpedia.org/class/yago/Wikicat9th-centuryChurchBuildings,http://dbpedia.org/resource/San_Giorgio_in_Velabro,San Giorgio al Velabro,63,128,1.0,0.0,6,84,== Later years and death == | === Cardinalate ===
