types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatSocialMovements,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Neologism106294441,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatNeologisms,http://dbpedia.org/resource/Glocalization,Glocal,70,0,1.0,0.0,1,45,== Discography == | === Compilations ===
