types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatEnduranceSports,http://dbpedia.org/resource/Cross-country_cycling,cross-country,422,104,0.9503630755033772,0.0295166253119589,7,6,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatPornographicFilms,http://dbpedia.org/resource/Unsimulated_sex,unsimulated,107,56,1.0,0.0,8,6,== Career == | === Films ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Unsimulated_sex,unsimulated,107,56,1.0,0.0,8,6,== Career == | === Films ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Unsimulated_sex,unsimulated,107,56,1.0,0.0,8,6,== Career == | === Films ===
