types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/Wikicat2007Albums,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
http://dbpedia.org/class/yago/WikicatSuperChikanAlbums,http://dbpedia.org/resource/Sum_Mo_Chikan,Sum Mo Chikan,3,92,1.0,0.0,5,6,== Life and career == | === Musical career ===
