types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/WikicatEconomicBubbles,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/WikicatEconomicDisasters,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/WikicatEconomicProblems,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Ball113899404,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Bubble109229709,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Calamity107314838,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Crisis113933560,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Difficulty114408086,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Globule109289709,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Market101097292,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Misfortune107304852,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Problem114410605,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/RoundShape113865483,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Situation114411243,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Sphere113899200,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/Trouble107289014,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/WikicatFinancialCrises,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
http://dbpedia.org/class/yago/WikicatFinancialMarkets,http://dbpedia.org/resource/Financial_crisis,Financial crisis,849,15,1.0,1.002866174023423e-14,13,32,== Presidency == | ==== Economic issues ====
