types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/SecretSociety108235343,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/ThinkTank108478702,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/WikicatSecretSocieties,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Le_Cercle,Le cercle,18,0,0.9999891093921476,1.089071226687652e-05,0,101,== Filmography == | === Self ===
