types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/WikicatAcademicDisciplines,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/WikicatEvaluationMethods,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
http://dbpedia.org/class/yago/WikicatOccupations,http://dbpedia.org/resource/Interdisciplinarity,Interdisciplinarity,2183,0,0.9999998071949152,0.0,1,12,== Research == | === Interdisciplinarity ===
