types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatPeopleOfTheRevolutionsOf1848,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Radical110503452,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Revolutionist110527334,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatGermanHistorians,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatGermanRevolutionaries,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatGermanWriters,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatOpinionJournalists,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
http://dbpedia.org/class/yago/WikicatPeopleFromGiessen,http://dbpedia.org/resource/Karl_Hillebrand,Karl Hillebrand,11,19,0.9999999999999004,0.0,1,172,== Selected bibliography == | === Online ===
