types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/WikicatPlaysByMolière,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/WikicatComedyPlays,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/Wikicat1668Plays,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
http://dbpedia.org/class/yago/WikicatFrenchPlays,http://dbpedia.org/resource/George_Dandin_ou_le_Mari_confondu,Dandin,68,7,0.9794319827987436,0.0209999444161128,0,14,== Discography == | === Music videos ===
