types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Robert_Halmi,Robert Halmi,18,397,1.0,0.0,8,27,== Selected credits == | === Television ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Robert_Halmi,Robert Halmi,18,397,1.0,0.0,8,27,== Selected credits == | === Television ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Robert_Halmi,Robert Halmi,18,397,1.0,0.0,8,27,== Selected credits == | === Television ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rex_Piano,Rex Piano,10,0,1.0,0.0,4,29,== Selected credits == | === Feature films ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Rex_Piano,Rex Piano,10,0,1.0,0.0,4,29,== Selected credits == | === Feature films ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/WikicatAmericanFilmDirectors,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/WikicatAmericanScreenwriters,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/WikicatAmericanSculptors,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/WikicatGuggenheimFellows,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Associate109816771,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Colleague109935990,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/FilmDirector110088200,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/FilmMaker110088390,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Peer109626238,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Producer110480018,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Screenwriter110564400,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Scriptwriter110564905,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Sculptor110566072,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Philip_Haas,Philip Haas,26,327,1.0,2.3929871082681324e-24,6,29,== Selected credits == | === Feature films ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/WikicatBritishFilmScoreComposers,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/WikicatMusiciansFromLondon,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/WikicatEnglishFilmScoreComposers,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
http://dbpedia.org/class/yago/WikicatEnglishTelevisionComposers,http://dbpedia.org/resource/Amin_Bhatia,Amin Bhatia,13,36,1.0,0.0,0,31,== Selected credits == | === Music ===
