types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/WikicatArtMuseumsAndGalleriesInFrance,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/WikicatArtMuseumsEstablishedIn1964,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/ontology/Museum,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/WikicatModernArtMuseums,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/WikicatMuseumsEstablishedIn1964,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/WikicatMuseumsInAlpes-Maritimes,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/WikicatMuseumsInFrance,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
"http://dbpedia.org/class/yago/WikicatSculptureGardens,TrailsAndParks",http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Depository103177349,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Line108593262,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Museum103800563,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Path109387222,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Trail109460312,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Fondation_Maeght,Fondation Maeght,90,10,1.0,0.0,0,19,== Catalogues (selected) ==
