types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Principal110474950,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Prisoner110476086,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Superior110676018,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Supervisor110676877,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Unfortunate109630641,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Wikicat20th-centuryAmericanPeople,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatPeopleConvictedOfObstructionOfJustice,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatPeopleConvictedOfRacketeering,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatPeopleFromBrooklyn,http://dbpedia.org/resource/John_Gotti,Gotti,584,68,0.9581404148631668,0.0436882987741559,0,37,== Discography == | === Guest appearances ===
