types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Printmaking,print maker,3147,69,1.0,0.0,3,25,== Career == | ==== Nash Editions ====
http://dbpedia.org/ontology/Election,http://dbpedia.org/resource/Printmaking,print maker,3147,69,1.0,0.0,3,25,== Career == | ==== Nash Editions ====
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Printmaking,print maker,3147,69,1.0,0.0,3,25,== Career == | ==== Nash Editions ====
