types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Willie_Wilcox,Willie Wilcox,36,128,1.0,0.0,2,3,== Career == | === Musician ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/WikicatCommandShells,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/WikicatUnixShells,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Ammunition102703275,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Shell104190464,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Weaponry104566257,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Unix_shell,shell,392,150,0.957271019459658,0.0430836411650558,3,3,== Career == | === Musician ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/WikicatInternetProtocols,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Direction106786629,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Protocol106665108,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/Rule106652242,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/WikicatNetworkProtocols,http://dbpedia.org/resource/Protocol_stack,stack,321,181,0.6627696992544495,0.5086356572033787,3,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/WikicatComputerFileFormats,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
