types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Robotika,Robotika,2,35,0.6694424915962199,0.0,3,9,== Biography == | === Recording career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/ontology/Venue,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Cabaret102931417,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Spot104286128,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/WikicatNightclubsInNewYorkCity,http://dbpedia.org/resource/Fez_(nightclub),Club Fez,22,221,0.999955185913492,0.0,8,9,== Biography == | === Recording career ===
