types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/ontology/Village,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/Settlement108672562,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/Village108672738,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/WikicatVillagesInDenmark,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sortelung,Sortelung,3,93,1.0,0.0,0,6,== Life == | === Early years ===
