types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/MemoryDevice103744840,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/WikicatComputerPeripherals,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/WikicatComputerStorageDevices,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/WikicatComputerStorageMedia,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/StorageMedium106263762,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/Peripheral103916720,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
http://dbpedia.org/class/yago/WikicatSolid-stateComputerStorageMedia,http://dbpedia.org/resource/Solid-state_drive,SSDs,1303,48,0.9999998782855716,0.0,1,19,== Gear == | === Home studio ===
