types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Wikicat2009FilmAwards,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Wikicat2009TelevisionAwards,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Wikicat2010Awards,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Wikicat2010FilmAwards,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/Wikicat2010TelevisionAwards,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
http://dbpedia.org/class/yago/WikicatGoldenGlobeAwards,http://dbpedia.org/resource/67th_Golden_Globe_Awards,2010 Golden Globes Awards,106,0,1.0,0.0,0,44,== Awards == | === Nominations ===
