types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAdoptionFormsAndRelatedPractices,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WikicatMultiracialAffairs,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/CognitiveState105669934,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Concern105670710,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Curiosity105682570,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Interest105682950,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Matter105671325,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/PsychologicalState114373582,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Interracial_adoption,interracial adoption,33,136,1.0,0.0,2,10,== Personal life == | === Activism ===
