types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAncientGreekSitesInPakistan,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInPakistan,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatRazedCities,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/City108524735,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Municipality108626283,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/UrbanArea108675967,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatFormerPopulatedPlacesInPakistan,http://dbpedia.org/resource/Sagala,Sagala,89,0,0.997468919673272,0.0025375029497902,0,8,== Discography == | === Studio albums ===
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/ontology/Plant,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://umbel.org/umbel/rc/Plant,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatLauralesGenera,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Genus105845013,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Ocotea,Ocotea,707,0,0.9999999835573876,0.0,0,13,== Discography == | === Studio albums ===
