types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WikicatManifestos,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WikicatMovementsInCinema,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/ArtisticMovement108466643,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Declaration106725877,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Manifesto106727224,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WikicatFilmGenres,http://dbpedia.org/resource/Dogme_95,Dogme,241,0,0.9999998932344688,0.0,0,16,== Compositions == | === Organ solo ===
