types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedInThe16thCentury,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/Orchestra108248157,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/SymphonyOrchestra108248856,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/WikicatGermanOrchestras,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedInThe1570s,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
http://dbpedia.org/class/yago/WikicatSymphonyOrchestras,http://dbpedia.org/resource/Staatskapelle_Berlin,Berlin Staatskapelle,156,241,1.0,0.0,5,23,== Musical style == | === Recordings ===
