types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatOperasBySamuelAdler,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat1762Operas,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat1976Operas,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatEnglish-languageOperas,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatBalladOperas,http://dbpedia.org/resource/The_Disappointment,The Disappointment,8,0,0.998720858384634,0.0012807624867094,1,46,== Discography == | === As sideman ===
