types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHinduPhilosophicalConcepts,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://umbel.org/umbel/rc/MusicalComposition_Song,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatFormsOfVishnu,http://dbpedia.org/resource/Dashavatara,Dashavathara,336,304,1.0,1.083535773977358e-27,2,9,== Career == | === As actor ===
