types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Johnny_MacRae,Johnny MacRae,41,26,1.0,0.0,0,5,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/WikicatAutomobiles,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/WikicatWheels,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Band102784218,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Car102958343,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Hoop103533972,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Machine103700963,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/MechanicalDevice103736970,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Mechanism103738472,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/MotorVehicle103791235,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Self-propelledVehicle104170037,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Strip104339291,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Tire104440749,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Wheel104574999,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/WheeledVehicle104576211,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://dbpedia.org/class/yago/WikicatTires,http://dbpedia.org/resource/Tweel,Tweel,21,24,0.9999872685292686,1.200010033632292e-05,0,8,== Keith Palmer (1991) == | === Track listing ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bill_Wray,Wray,52,4,0.6876428237364824,0.4537459350006973,0,27,== Keith Palmer (1991) == | === Personnel ===
