types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAncientGreekPoets,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/ontology/Writer,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Anonymous_work,Anonymous,205,19,0.9905222397086352,0.0095683663911663,0,59,== Works == | === Plays ===
