types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/WikicatComputerFileFormats,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/WikicatCryptographicAlgorithms,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Algorithm105847438,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/File106508816,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Format106636806,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Procedure101023820,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/Rule105846932,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
http://dbpedia.org/class/yago/WikicatFiles,http://dbpedia.org/resource/Plaintext,plaintext,974,89,0.9999999999999148,0.0,5,28,== Accomplishments == | === Cryptography ===
