types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/WikicatWritersFromMoscow,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/WikicatRussian-languagePoets,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/WikicatSovietPoets,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Yevgeniy_Dolmatovsky,Yevgeniy Dolmatovsky,29,84,1.0,0.0,4,9,== Biography == | === Professional career ===
