types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://www.wikidata.org/entity/Q24229398,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://www.wikidata.org/entity/Q178885,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/ontology/Deity,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatTricksterDeities,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatWarDeities,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatWarGods,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/Goddess109535622,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatHinduDeities,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatHinduGoddesses,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WarGod110767654,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatRainDeities,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatRigvedicDeities,http://dbpedia.org/resource/Indra,Jayanti,2981,50,0.9999999995300186,4.661979439055396e-10,0,11,== Career == | === As actor ===
