types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/MemoryDevice103744840,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/Recording104063868,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/SoundRecording104262678,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/Soundtrack104262969,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
http://dbpedia.org/class/yago/WikicatFilmSoundtracks,http://dbpedia.org/resource/AFI's_100_Years_of_Film_Scores,top 25 American film scores,151,56,1.0,0.0,8,13,== Film and television scoring == | === 1970s ===
