types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/WikicatWinters,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/Winter115237782,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/Season115236475,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
http://dbpedia.org/class/yago/WikicatEventsInNorseMythology,http://dbpedia.org/resource/Fimbulwinter,Fimbulwinter,41,5,0.9999996427654806,1.977855191245117e-07,1,21,== Discography == | === With Fimbulwinter ===
