types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArchitecturalStyles,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/WikicatArchitectureGroups,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/WikicatHouseStyles,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/ArchitecturalStyle105841351,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/ArtForm105841151,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Manner104928903,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
http://dbpedia.org/class/yago/Wikicat20th-centuryArchitecturalStyles,http://dbpedia.org/resource/Postmodern_architecture,Postmodern architecture,606,0,1.0,0.0,10,15,== Career == | ==== Postmodernist ====
