types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatEmployerAssociationsOfNorway,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInOslo,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1993,http://dbpedia.org/resource/Arbeidsgiverforeningen_Spekter,Spekter,10,41,0.9999999753914895,0.0,0,43,== Discography == | === Singles ===
