types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatE-flatInstruments,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatWoodwindInstruments,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WindInstrument104586932,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Woodwind104598582,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatSaxophones,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Beating-reedInstrument102817799,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Sax104141076,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Single-reedInstrument104222847,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatTransposingInstruments,http://dbpedia.org/resource/Alto_saxophone,Alto saxophonist,5738,0,1.0,0.0,17,24,== Career == | === 1980s ===
