types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/WikicatGuitars,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/Guitar103467517,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/StringedInstrument104338517,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bolt-on_neck,bolt-on neck,65,151,1.0,0.0,2,3,== Career == | === Early years ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Evenfall,Evenfall,7,54,1.0,0.0,2,8,== Career == | === Talas ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Evenfall,Evenfall,7,54,1.0,0.0,2,8,== Career == | === Talas ===
