types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1789EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1790EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1791EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1792EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1793EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1794EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Wikicat1795EventsOfTheFrenchRevolution,http://dbpedia.org/resource/Revolution_Controversy,Revolution controversy,48,209,1.0,0.0,4,43,== Public life == | ==== Political work ====
