types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatAmericanAnarchists,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatAmericanJournalists,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatHarvardUniversityAlumni,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatConvertsToIslam,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatMuslimReformers,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/WikicatPunkPeople,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Anarchist109791816,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
