types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/WikicatFormerPopulatedPlacesInBelize,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/WikicatMayaSites,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/WikicatMayaSitesInBelize,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInBelize,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cerros,cerros,34,35,0.9999842137841626,0.0,2,37,== Selected works == | === Other works ===
