types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/WikicatPeopleFromTheProvinceOfTreviso,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/WikicatMedievalPeople,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/FolkSinger110099093,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Alberico_da_Romano,Alberico da Romano,23,47,1.0,0.0,1,52,== Lives == | === Podestà-troubadours ===
