types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Village,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/WikicatCommitteesOfTheUnitedStatesHouseOfRepresentatives,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/Committee108324514,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1865,http://dbpedia.org/resource/United_States_House_Committee_on_Appropriations,Appropriations,932,68,0.6097220364100784,0.6387412702866047,3,7,== Political career == | === Legislative history ===
