types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/MalevolentProgram106573020,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Program106568978,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Software106566077,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Virus106585816,http://dbpedia.org/resource/Swen,Swen,3,0,0.7523396668447232,0.0,1,46,== Discography == | === Remixes ===
