types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatFrankSinatraSongs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatTheCoastersSongs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/Wikicat1953Songs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatEllaFitzgeraldSongs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatAlHirtSongs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatAmericanSongs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatAndyWilliamsSongs,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatSongsAboutCities,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatSongsAboutParis,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatSongsFromCan-Can(film),http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatSongsFromCan-Can(musical),http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatSongsFromHighSociety(1956Film),http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
http://dbpedia.org/class/yago/WikicatSongsFromMusicals,http://dbpedia.org/resource/I_Love_Paris,I love Paris,65,115,1.0,0.0,5,17,== Career == | === 2007–present ===
