types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://www.wikidata.org/entity/Q1067263,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/WikicatMainframeComputers,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/DigitalComputer103196324,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Mainframe103711711,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Merchandise103748886,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/WikicatIBMComputers,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/WikicatIBMProducts,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/WikicatIBMVacuumTubeComputers,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/ontology/InformationAppliance,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
http://dbpedia.org/class/yago/WikicatEarlyComputers,http://dbpedia.org/resource/IBM_650,IBM 650,137,60,1.0,0.0,2,6,== Biography == | === Education ===
