types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/WikicatSocialMovements,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://dbpedia.org/class/yago/WikicatEnvironmentalMovements,http://dbpedia.org/resource/Great_Transition,great transition,58,10,0.9999999863093196,0.0,2,10,== Biography == | === Sheena Easton ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Root_system,D4,522,11,0.9516891659057952,0.0326497556199989,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/ontology/Aircraft,http://dbpedia.org/resource/Root_system,D4,522,11,0.9516891659057952,0.0326497556199989,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/ontology/RadioStation,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/WikicatYamahaSynthesizers,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Synthesist110687231,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Yamaha_SY22,Yamaha SY22,6,15,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/WikicatYamahaSynthesizers,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Yamaha_TG77,Yamaha TG77,10,32,1.0,0.0,24,29,== Composition and musical style == | === On composing ===
