types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatAmericanTelevisionSitcoms,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/WritingStyle107092158,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatNBCNetworkShows,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatSitcoms,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Comedy107015510,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Drama106376154,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Ending106308765,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Morpheme106306233,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Show100520257,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/SituationComedy107017733,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Wikicat1989AmericanTelevisionSeriesDebuts,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Wikicat1989TelevisionSeriesDebuts,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/Wikicat1993AmericanTelevisionSeriesEndings,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatTeenSitcoms,http://dbpedia.org/resource/Saved_by_the_Bell,Saved By The Bell,554,108,1.0,5.20085761006906e-19,0,7,== Career == | === Television ===
