types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Commune108541609,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatCommunesInAradCounty,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Dieci,Dieci,9,10,0.9999988045555068,1.1954459278774229e-06,1,111,== Discography == | === Remixes ===
