types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/WikicatMotorcycleStuntPerformers,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Crusty_Demons,Crusty Demons,53,33,1.0,0.0,2,7,== Career == | === Dancing ===
