types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatAcademicLibrariesInCanada,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/ontology/Library,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatLiteraryArchives,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Archive102735086,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Area102735688,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Depository103177349,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Library103660909,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Room104105893,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Blackrock_National_Hurling_Club,Blackrock,836,29,0.7522821531825121,0.3190263728792264,1,48,== Selected writings == | === Articles ===
http://dbpedia.org/ontology/AustralianRulesFootballPlayer,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatPhilosophicalConcepts,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
