types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBuddyFilms,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
http://dbpedia.org/class/yago/WikicatTreasureHuntFilms,http://dbpedia.org/resource/Treasure_Raiders,Treasure Raiders,9,18,0.9999998806628768,1.1933350519383966e-07,0,26,== Filmography == | === Television ===
