types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatHarryNilssonSongs,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatDavidCassidySongs,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Recording104063661,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Wikicat1969Songs,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatSongRecordingsProducedByRickJarrard,http://dbpedia.org/resource/The_Puppy_Song,The Puppy Song,10,191,1.0,0.0,3,9,== Career == | === 1970s ===
