types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnti-racistOrganizationsInEurope,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/WikicatHumanRightsOrganizationsBasedInFrance,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/WikicatNon-profitOrganizationsBasedInFrance,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1984,http://dbpedia.org/resource/SOS_Racisme,SOS Racisme,80,72,1.0,0.0,2,13,== Biography == | === Artistic turn ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Aline_Issermann,Aline Issermann,16,27,1.0,0.0,0,55,== Filmography == | === Actor ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Aline_Issermann,Aline Issermann,16,27,1.0,0.0,0,55,== Filmography == | === Actor ===
