types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Plastic_surgery,cosmetic surgeries,2166,35,1.0,0.0,0,40,== Personal life == | === Cosmetic procedures ===
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/resource/Plastic_surgery,cosmetic surgeries,2166,35,1.0,0.0,0,40,== Personal life == | === Cosmetic procedures ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Plastic_surgery,cosmetic surgeries,2166,35,1.0,0.0,0,40,== Personal life == | === Cosmetic procedures ===
