types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/WikicatChristianHymns,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/WikicatEasternOrthodoxLiturgicalDays,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Day115155220,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Hymn107035870,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
http://dbpedia.org/class/yago/TimeUnit115154774,http://dbpedia.org/resource/Menaion,Menaion,137,47,1.0,0.0,0,24,== Portrayals == | === Other works ===
