types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/RugbyPlayer,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Explanation105793000,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Theory105989479,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/WikicatTheoriesOfMind,http://dbpedia.org/resource/Eliminative_materialism,illusionism,99,64,0.999999991046451,7.511991327638502e-09,0,8,== Biography == | === Artistic background ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/WikicatMagicOrganizations,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1948,http://dbpedia.org/resource/Fédération_Internationale_des_Sociétés_Magiques,FISM,123,122,0.9920350027240906,0.0,2,8,== Biography == | === Artistic background ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Royal_Club_(esports),Royal Club,31,51,0.925355417359798,0.0806451612903201,1,9,== Biography == | === Artistic background ===
http://dbpedia.org/ontology/Convention,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/WikicatMagicConventions,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Convention108309086,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/Meeting108307589,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Magic_convention,magic conventions,24,61,0.9999999999973852,0.0,2,11,== Biography == | === Artistic background ===
