types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/WikicatSagas,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/WikicatSagasOfIcelanders,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/AdventureStory106370268,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/Saga106370522,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
http://dbpedia.org/class/yago/Story106369829,http://dbpedia.org/resource/Sagas_of_Icelanders,Icelandic Saga,408,126,1.0,0.0,2,7,== Early life == | === Childhood ===
